"Chan","Cond","Fvals","FdfNum","FdfDen","Pvals","xpos","ypos","Pvals_cuts","ges","pes"
74,"Pattern",18.8402227357552,4,304,7.49692305261329e-14,-0.049033,-0.36828,"<.0001",0.141974821776666,0.198652240497663
75,"Pattern",18.7322827630804,4,304,8.87401359625421e-14,3.6897e-17,-0.30129,"<.0001",0.122041400172146,0.197739167860324
76,"Pattern",12.4166441807364,4,304,2.28923864193602e-09,0.039316,-0.23611,"<.0001",0.0689241125774649,0.140433334648564
77,"Pattern",7.34957351561866,4,304,1.16092785793546e-05,0.04676,-0.18643,"<.0001",0.0478771996135311,0.0881776979247703
78,"Pattern",4.65763503200748,4,304,0.00115817388102485,0.054807,-0.12811,"<.005",0.0267780448662029,0.0577457426089816
79,"Pattern",1.70165329041367,4,304,0.149496683748812,0.050987,-0.076676,"ns",0.0135776986382857,0.0218998337661318
80,"Pattern",8.97220817623864,4,304,7.33318183413689e-07,0.044495,-0.015575,"<.0001",0.0775822058218843,0.105589914265022
81,"Pattern",15.6513541067473,4,304,1.17281356393058e-11,5.188e-17,-0.42363,"<.0001",0.112241816772455,0.170770571360222
82,"Pattern",17.0752788154933,4,304,1.20649076863593e-12,0.049033,-0.36828,"<.0001",0.113409521905495,0.183456649636713
83,"Pattern",15.435049356542,4,304,1.66103252322176e-11,0.093018,-0.29235,"<.0001",0.0991398772480813,0.168808891832655
84,"Pattern",9.04586079957249,4,304,6.47272444098045e-07,0.10296,-0.21873,"<.0001",0.0504683764148492,0.106364503980868
85,"Pattern",5.11391172721781,4,304,0.000531841525584646,0.10478,-0.15427,"<.001",0.0309018371015897,0.063046049910842
86,"Pattern",2.99495003686992,4,304,0.0189974299452561,0.099452,-0.09574,"<.05",0.0245739187923991,0.0379131835069465
87,"Pattern",9.59864169411508,4,304,2.54125506237489e-07,0.091723,-0.035635,"<.0001",0.0776235508067948,0.112135444022764
88,"Pattern",16.9724909028396,4,304,1.42035742511003e-12,0.10679,-0.41491,"<.0001",0.128849767214703,0.182553901030538
89,"Pattern",16.9662295263361,4,304,1.43455461662494e-12,0.1585,-0.34149,"<.0001",0.0954357881452443,0.182498845148171
90,"Pattern",14.2639917768082,4,304,1.10596445536309e-10,0.16624,-0.26054,"<.0001",0.0683214568277469,0.158025271163258
91,"Pattern",7.4804501116659,4,304,9.2840038914057e-06,0.15297,-0.18922,"<.0001",0.0430581603480616,0.0896072086537606
92,"Pattern",2.66322339118724,4,304,0.0327312364749556,0.15394,-0.11866,"<.05",0.020116705854313,0.0338560165268489
93,"Pattern",3.35346825358041,4,304,0.0104774620740754,0.15112,-0.059346,"<.05",0.0331001901564087,0.0422598826161464
94,"Pattern",16.0972270608757,4,304,5.73567671599017e-12,0.22108,-0.37388,"<.0001",0.114383678886766,0.174785143642116
95,"Pattern",11.8335301333141,4,304,6.01586480191124e-09,0.25813,-0.2804,"<.0001",0.0601386328481464,0.134726796422199
96,"Pattern",8.88574110872141,4,304,8.49100018041358e-07,0.22492,-0.21452,"<.0001",0.0401879332977646,0.104678842319826
97,"Pattern",1.75583638626169,4,304,0.137685075721745,0.20096,-0.14301,"ns",0.0136722527225022,0.0225814095489804
98,"Pattern",2.66756650073851,4,304,0.0325005244702359,0.19145,-0.085584,"<.05",0.0249096170642296,0.0339093557789596
99,"Pattern",3.12501449204781,4,304,0.015320174634953,0.349,-0.28153,"<.05",0.021517741512663,0.0394946466943381
100,"Pattern",2.09643653185934,4,304,0.0812104412026726,0.33631,-0.19112,"ns",0.0143019548282768,0.0268442021807756
101,"Pattern",2.17900317338784,4,304,0.0712870936220348,0.27341,-0.16219,"ns",0.0156270772332548,0.027871974378532
102,"Pattern",1.01436121058372,4,304,0.400106801739908,0.24052,-0.075603,"ns",0.0104752426808427,0.0131710656900745
103,"Pattern",3.80046185008708,4,304,0.00495125690935478,0.19461,-0.022574,"<.005",0.0348143026755794,0.0476245595824573
104,"Pattern",8.65718300607235,4,304,1.25141377402698e-06,0.14086,0.0073253,"<.0001",0.0707476945136336,0.102261647490106
105,"Pattern",9.06250360486364,4,304,6.29277202953724e-07,0.089234,0.023191,"<.0001",0.0782361208118743,0.106539347195342
106,"Pattern",18.0302043538823,4,304,2.66840616228933e-13,0.028292,0.036037,"<.0001",0.151649306798012,0.191749071245508
107,"Pattern",1.95754710885181,4,304,0.100921115353525,0.41976,-0.1671,"ns",0.0194759414936888,0.0251104246022325
108,"Pattern",0.700132190060952,4,304,0.592375565948003,0.31837,-0.081339,"ns",0.00741964781913199,0.00912817449031303
109,"Pattern",5.56536448605416,4,304,0.000245807865387268,0.25598,0.0011134,"<.0005",0.0520768545213566,0.0682319575364089
110,"Pattern",7.9268271851725,4,304,4.33540732305142e-06,0.1832,0.042556,"<.0001",0.0708722334830372,0.0944492655212986
111,"Pattern",14.5438848193336,4,304,7.01741424340864e-11,0.12367,0.07006,"<.0001",0.109616673549982,0.160628018649229
112,"Pattern",20.6834862104096,4,304,4.31902495495457e-15,0.058411,0.078036,"<.0001",0.152010841741455,0.213929875939689
113,"Pattern",0.648615458107636,4,304,0.628253074852773,0.46317,0.03064,"ns",0.00793304847434923,0.00846219405570525
114,"Pattern",2.52253354204012,4,304,0.0411273095966333,0.39898,0.074566,"<.05",0.0290561336925229,0.032124963730183
115,"Pattern",2.04032235470571,4,304,0.0886894323629909,0.33383,0.039461,"ns",0.0208407721359104,0.0261444634407341
116,"Pattern",7.73510689466196,4,304,6.0116643372487e-06,0.22865,0.099464,"<.0001",0.0671286348179267,0.0923759123445398
117,"Pattern",11.6857081360173,4,304,7.69100794629908e-09,0.15612,0.11703,"<.0001",0.0974494579685548,0.133268104739378
118,"Pattern",14.3190024466229,4,304,1.01128463347652e-10,0.097709,0.1308,"<.0001",0.115405058650484,0.158538093410467
119,"Pattern",1.07333787132208,4,304,0.369776056200065,0.45895,0.17222,"ns",0.0102151728567347,0.0139261890164154
120,"Pattern",2.64592613672553,4,304,0.0336659790373269,0.41311,0.15319,"<.05",0.0268751716879315,0.033643524422684
121,"Pattern",2.57014966993916,4,304,0.0380754174336446,0.34659,0.19108,"<.05",0.0250195877852121,0.0327115282424172
122,"Pattern",4.60885267886835,4,304,0.00125847256940711,0.27006,0.17418,"<.005",0.0497170387230426,0.0571755151661719
123,"Pattern",9.46773870226026,4,304,3.17010038167322e-07,0.1756,0.16852,"<.0001",0.0699269849217881,0.110775584401999
124,"Pattern",11.4235766877418,4,304,1.18979922714169e-08,0.12335,0.16655,"<.0001",0.0953687799992946,0.13066928991643
125,"Pattern",3.27419055267782,4,304,0.0119574117949766,0.3348,0.24755,"<.05",0.0338243545738846,0.0413021000889579
126,"Pattern",2.28205620073889,4,304,0.060519112420721,0.22208,0.39445,"ns",0.0208721027621422,0.0291517151119154
127,"Pattern",3.00388111370254,4,304,0.0187194151718723,-0.22208,0.39445,"<.05",0.0261430858684492,0.0380219436229892
128,"Pattern",1.88813246192145,4,304,0.112386376971209,-0.3348,0.24755,"ns",0.0168882821237699,0.0242415937093438
1,"Speed",1.22686686553607,4,304,0.299382265566369,0.27061,0.25813,"ns",0.0121316236217917,0.0158865290711876
2,"Speed",1.27548163940159,4,304,0.279569820325461,0.18883,0.2394,"ns",0.0124770522695871,0.0165056446409936
3,"Speed",0.0772085064379294,4,304,0.989180037341768,0.11004,0.2174,"ns",0.000737642404684358,0.00101487039224626
4,"Speed",2.12615213996424,4,304,0.0774964862049284,0.073707,0.18359,"ns",0.0148350977371746,0.0272143460509255
5,"Speed",2.87902424462163,4,304,0.0229939990031427,0.035595,0.13683,"<.05",0.0206389048015135,0.0364992375627407
6,"Speed",2.5739029837823,4,304,0.0378444093937508,-2.187e-17,0.089291,"<.05",0.0160676247512981,0.0327577336245287
7,"Speed",1.7231212309784,4,304,0.144709186620025,-0.028292,0.036037,"ns",0.0154447292110191,0.0221699952818108
8,"Speed",0.979451749507814,4,304,0.418939575131025,0.15945,0.30209,"ns",0.0101230394574486,0.012723548002069
9,"Speed",1.16259384124348,4,304,0.32737534205313,0.083862,0.27643,"ns",0.00673871279037142,0.0150668061215702
10,"Speed",1.87536529138083,4,304,0.114623890690936,0.050145,0.23852,"ns",0.0143535287272138,0.0240816243283599
11,"Speed",2.40115434254989,4,304,0.0500152997196136,-4.8953e-17,0.19987,"ns",0.0168960991537445,0.030626517717568
12,"Speed",1.40296296023322,4,304,0.232879215384177,-0.035595,0.13683,"ns",0.0112128185775413,0.0181254425745176
13,"Speed",3.20232302667403,4,304,0.0134755509249517,-0.058411,0.078036,"<.05",0.0254891014806725,0.0404321856266203
14,"Speed",1.77410030905744,4,304,0.133902336726522,0.044058,0.32872,"ns",0.0182577978633368,0.0228109396573866
15,"Speed",1.51511995587163,4,304,0.197619909128936,-6.9342e-17,0.28311,"ns",0.011118438538637,0.0195461215403417
16,"Speed",1.81291809306697,4,304,0.12618077929753,-6.0391e-17,0.24656,"ns",0.013508946684867,0.0232984205899933
17,"Speed",1.44620171978531,4,304,0.218673736218089,-8.7824e-17,0.35857,"ns",0.0142657647413918,0.0186736300511926
